Processed: Particle 2, Iteration 0, Reevaluation 1001, port1237
Processed: Particle 21, Iteration 6, Reevaluation 1004, port1259
Processed: Particle 24, Iteration 6, Reevaluation 1004, port1262
Processed: Particle 16, Iteration 6, Reevaluation 1004, port1254
Processed: Particle 23, Iteration 6, Reevaluation 1004, port1261
Processed: Particle 19, Iteration 6, Reevaluation 1004, port1257
Processed: Particle 20, Iteration 6, Reevaluation 1004, port1258
Processed: Particle 22, Iteration 6, Reevaluation 1004, port1260
Processed: Particle 25, Iteration 6, Reevaluation 1004, port1263
Processed: Particle 3, Iteration 6, Reevaluation 1005, port1242
Processed: Particle 1, Iteration 6, Reevaluation 1005, port1240
Processed: Particle 5, Iteration 6, Reevaluation 1005, port1244
Processed: Particle 2, Iteration 6, Reevaluation 1005, port1241
Processed: Particle 4, Iteration 6, Reevaluation 1005, port1243
Processed: Particle 11, Iteration 6, Reevaluation 1005, port1250
Processed: Particle 8, Iteration 6, Reevaluation 1005, port1247
Processed: Particle 9, Iteration 6, Reevaluation 1005, port1248
Processed: Particle 12, Iteration 6, Reevaluation 1005, port1251
Processed: Particle 7, Iteration 6, Reevaluation 1005, port1246
Processed: Particle 14, Iteration 6, Reevaluation 1005, port1253
Processed: Particle 6, Iteration 6, Reevaluation 1005, port1245
Processed: Particle 15, Iteration 6, Reevaluation 1005, port1254
Processed: Particle 18, Iteration 6, Reevaluation 1005, port1257
Processed: Particle 10, Iteration 6, Reevaluation 1005, port1249
Processed: Particle 13, Iteration 6, Reevaluation 1005, port1252
Processed: Particle 17, Iteration 6, Reevaluation 1005, port1256
Processed: Particle 21, Iteration 6, Reevaluation 1005, port1260
Processed: Particle 16, Iteration 6, Reevaluation 1005, port1255
Processed: Particle 24, Iteration 6, Reevaluation 1005, port1263
Processed: Particle 19, Iteration 6, Reevaluation 1005, port1258
Processed: Particle 20, Iteration 6, Reevaluation 1005, port1259
Processed: Particle 22, Iteration 6, Reevaluation 1005, port1261
Processed: Particle 23, Iteration 6, Reevaluation 1005, port1262
Processed: Particle 25, Iteration 6, Reevaluation 1005, port1264
Processed: Particle 16, Iteration 6, Reevaluation 2, port1252
Processed: Particle 15, Iteration 6, Reevaluation 2, port1251
Processed: Particle 14, Iteration 6, Reevaluation 2, port1250
Processed: Particle 18, Iteration 6, Reevaluation 2, port1254
Processed: Particle 7, Iteration 6, Reevaluation 2, port1243
Processed: Particle 13, Iteration 6, Reevaluation 2, port1249
Processed: Particle 6, Iteration 6, Reevaluation 2, port1242
Processed: Particle 12, Iteration 6, Reevaluation 2, port1248
Processed: Particle 4, Iteration 6, Reevaluation 2, port1240
Processed: Particle 20, Iteration 6, Reevaluation 2, port1256
Processed: Particle 22, Iteration 6, Reevaluation 2, port1258
Processed: Particle 19, Iteration 6, Reevaluation 2, port1255
Processed: Particle 18, Iteration 6, Reevaluation 3, port1255
Processed: Particle 15, Iteration 6, Reevaluation 3, port1252
Processed: Particle 16, Iteration 6, Reevaluation 3, port1253
Processed: Particle 6, Iteration 6, Reevaluation 3, port1243
Error: Particle 14, Iteration 6, Reevaluation 3, port1251
Error: Particle 7, Iteration 6, Reevaluation 3, port1244
Processed: Particle 20, Iteration 6, Reevaluation 3, port1257
Processed: Particle 19, Iteration 6, Reevaluation 3, port1256
Processed: Particle 22, Iteration 6, Reevaluation 3, port1259
Processed: Particle 4, Iteration 6, Reevaluation 3, port1241
Processed: Particle 13, Iteration 6, Reevaluation 3, port1250
Processed: Particle 12, Iteration 6, Reevaluation 3, port1249
Processed: Particle 15, Iteration 6, Reevaluation 4, port1253
Processed: Particle 16, Iteration 6, Reevaluation 4, port1254
Processed: Particle 14, Iteration 6, Reevaluation 4, port1252
Processed: Particle 18, Iteration 6, Reevaluation 4, port1256
Processed: Particle 7, Iteration 6, Reevaluation 4, port1245
Processed: Particle 20, Iteration 6, Reevaluation 4, port1258
Processed: Particle 13, Iteration 6, Reevaluation 4, port1251
Processed: Particle 6, Iteration 6, Reevaluation 4, port1244
Processed: Particle 12, Iteration 6, Reevaluation 4, port1250
Processed: Particle 19, Iteration 6, Reevaluation 4, port1257
Processed: Particle 22, Iteration 6, Reevaluation 4, port1260
Processed: Particle 4, Iteration 6, Reevaluation 4, port1242
Processed: Particle 15, Iteration 6, Reevaluation 5, port1254
Processed: Particle 18, Iteration 6, Reevaluation 5, port1257
Processed: Particle 16, Iteration 6, Reevaluation 5, port1255
Processed: Particle 14, Iteration 6, Reevaluation 5, port1253
Processed: Particle 6, Iteration 6, Reevaluation 5, port1245
Processed: Particle 20, Iteration 6, Reevaluation 5, port1259
Processed: Particle 7, Iteration 6, Reevaluation 5, port1246
Processed: Particle 12, Iteration 6, Reevaluation 5, port1251
Processed: Particle 4, Iteration 6, Reevaluation 5, port1243
Processed: Particle 19, Iteration 6, Reevaluation 5, port1258
Processed: Particle 22, Iteration 6, Reevaluation 5, port1261
Processed: Particle 13, Iteration 6, Reevaluation 5, port1252
Processed: Particle 15, Iteration 6, Reevaluation 6, port1255
Processed: Particle 16, Iteration 6, Reevaluation 6, port1256
Processed: Particle 14, Iteration 6, Reevaluation 6, port1254
Processed: Particle 20, Iteration 6, Reevaluation 6, port1260
Error: Particle 7, Iteration 6, Reevaluation 6, port1247
Error: Particle 18, Iteration 6, Reevaluation 6, port1258
Processed: Particle 12, Iteration 6, Reevaluation 6, port1252
Processed: Particle 13, Iteration 6, Reevaluation 6, port1253
Processed: Particle 19, Iteration 6, Reevaluation 6, port1259
Processed: Particle 4, Iteration 6, Reevaluation 6, port1244
Processed: Particle 22, Iteration 6, Reevaluation 6, port1262
Processed: Particle 6, Iteration 6, Reevaluation 6, port1246
Processed: Particle 3, Iteration 7, Reevaluation 1001, port1238
Processed: Particle 1, Iteration 7, Reevaluation 1001, port1236
Processed: Particle 5, Iteration 7, Reevaluation 1001, port1240
Processed: Particle 6, Iteration 7, Reevaluation 1001, port1241
Processed: Particle 7, Iteration 7, Reevaluation 1001, port1242
Processed: Particle 2, Iteration 7, Reevaluation 1001, port1237
Processed: Particle 9, Iteration 7, Reevaluation 1001, port1244
Processed: Particle 4, Iteration 7, Reevaluation 1001, port1239
Processed: Particle 8, Iteration 7, Reevaluation 1001, port1243
Processed: Particle 11, Iteration 7, Reevaluation 1001, port1246
Processed: Particle 12, Iteration 7, Reevaluation 1001, port1247
Processed: Particle 10, Iteration 7, Reevaluation 1001, port1245
Processed: Particle 18, Iteration 7, Reevaluation 1001, port1253
Processed: Particle 16, Iteration 7, Reevaluation 1001, port1251
Error: Particle 13, Iteration 7, Reevaluation 1001, port1248
Processed: Particle 14, Iteration 7, Reevaluation 1001, port1249
Error: Particle 15, Iteration 7, Reevaluation 1001, port1250
Error: Particle 17, Iteration 7, Reevaluation 1001, port1252
Processed: Particle 19, Iteration 7, Reevaluation 1001, port1254
Processed: Particle 20, Iteration 7, Reevaluation 1001, port1255
Processed: Particle 21, Iteration 7, Reevaluation 1001, port1256
Processed: Particle 23, Iteration 7, Reevaluation 1001, port1258
Processed: Particle 24, Iteration 7, Reevaluation 1001, port1259
Processed: Particle 22, Iteration 7, Reevaluation 1001, port1257
Processed: Particle 25, Iteration 7, Reevaluation 1001, port1260
Processed: Particle 3, Iteration 7, Reevaluation 1002, port1239
Processed: Particle 2, Iteration 7, Reevaluation 1002, port1238
Processed: Particle 5, Iteration 7, Reevaluation 1002, port1241
Processed: Particle 4, Iteration 7, Reevaluation 1002, port1240
Processed: Particle 1, Iteration 7, Reevaluation 1002, port1237
Processed: Particle 6, Iteration 7, Reevaluation 1002, port1242
Processed: Particle 11, Iteration 7, Reevaluation 1002, port1247
Processed: Particle 8, Iteration 7, Reevaluation 1002, port1244
Processed: Particle 7, Iteration 7, Reevaluation 1002, port1243
Processed: Particle 9, Iteration 7, Reevaluation 1002, port1245
Processed: Particle 10, Iteration 7, Reevaluation 1002, port1246
Processed: Particle 13, Iteration 7, Reevaluation 1002, port1249
Processed: Particle 17, Iteration 7, Reevaluation 1002, port1253
Processed: Particle 12, Iteration 7, Reevaluation 1002, port1248
Processed: Particle 15, Iteration 7, Reevaluation 1002, port1251
Processed: Particle 16, Iteration 7, Reevaluation 1002, port1252
Processed: Particle 14, Iteration 7, Reevaluation 1002, port1250
Processed: Particle 21, Iteration 7, Reevaluation 1002, port1257
Processed: Particle 18, Iteration 7, Reevaluation 1002, port1254
Processed: Particle 20, Iteration 7, Reevaluation 1002, port1256
Processed: Particle 23, Iteration 7, Reevaluation 1002, port1259
Processed: Particle 24, Iteration 7, Reevaluation 1002, port1260
Processed: Particle 25, Iteration 7, Reevaluation 1002, port1261
Processed: Particle 19, Iteration 7, Reevaluation 1002, port1255
Processed: Particle 22, Iteration 7, Reevaluation 1002, port1258
Processed: Particle 2, Iteration 7, Reevaluation 1003, port1239
Processed: Particle 3, Iteration 7, Reevaluation 1003, port1240
Processed: Particle 1, Iteration 7, Reevaluation 1003, port1238
Processed: Particle 5, Iteration 7, Reevaluation 1003, port1242
Processed: Particle 4, Iteration 7, Reevaluation 1003, port1241
Processed: Particle 7, Iteration 7, Reevaluation 1003, port1244
Processed: Particle 11, Iteration 7, Reevaluation 1003, port1248
Processed: Particle 12, Iteration 7, Reevaluation 1003, port1249
Processed: Particle 6, Iteration 7, Reevaluation 1003, port1243
Processed: Particle 8, Iteration 7, Reevaluation 1003, port1245
Processed: Particle 9, Iteration 7, Reevaluation 1003, port1246
Processed: Particle 14, Iteration 7, Reevaluation 1003, port1251
Processed: Particle 10, Iteration 7, Reevaluation 1003, port1247
Processed: Particle 15, Iteration 7, Reevaluation 1003, port1252
Processed: Particle 17, Iteration 7, Reevaluation 1003, port1254
Error: Particle 13, Iteration 7, Reevaluation 1003, port1250
Processed: Particle 16, Iteration 7, Reevaluation 1003, port1253
Processed: Particle 21, Iteration 7, Reevaluation 1003, port1258
Processed: Particle 20, Iteration 7, Reevaluation 1003, port1257
Processed: Particle 18, Iteration 7, Reevaluation 1003, port1255
Processed: Particle 19, Iteration 7, Reevaluation 1003, port1256
Processed: Particle 23, Iteration 7, Reevaluation 1003, port1260
Processed: Particle 24, Iteration 7, Reevaluation 1003, port1261
Processed: Particle 22, Iteration 7, Reevaluation 1003, port1259
Processed: Particle 25, Iteration 7, Reevaluation 1003, port1262
Processed: Particle 2, Iteration 7, Reevaluation 1004, port1240
Processed: Particle 3, Iteration 7, Reevaluation 1004, port1241
Processed: Particle 4, Iteration 7, Reevaluation 1004, port1242
Processed: Particle 5, Iteration 7, Reevaluation 1004, port1243
Processed: Particle 6, Iteration 7, Reevaluation 1004, port1244
Processed: Particle 9, Iteration 7, Reevaluation 1004, port1247
Processed: Particle 11, Iteration 7, Reevaluation 1004, port1249
Processed: Particle 8, Iteration 7, Reevaluation 1004, port1246
Processed: Particle 1, Iteration 7, Reevaluation 1004, port1239
Processed: Particle 12, Iteration 7, Reevaluation 1004, port1250
Processed: Particle 13, Iteration 7, Reevaluation 1004, port1251
Processed: Particle 14, Iteration 7, Reevaluation 1004, port1252
Processed: Particle 7, Iteration 7, Reevaluation 1004, port1245
Processed: Particle 17, Iteration 7, Reevaluation 1004, port1255
Processed: Particle 18, Iteration 7, Reevaluation 1004, port1256
Processed: Particle 10, Iteration 7, Reevaluation 1004, port1248
Processed: Particle 15, Iteration 7, Reevaluation 1004, port1253
Processed: Particle 21, Iteration 7, Reevaluation 1004, port1259
Processed: Particle 16, Iteration 7, Reevaluation 1004, port1254
Processed: Particle 19, Iteration 7, Reevaluation 1004, port1257
Processed: Particle 22, Iteration 7, Reevaluation 1004, port1260
Processed: Particle 24, Iteration 7, Reevaluation 1004, port1262
Processed: Particle 23, Iteration 7, Reevaluation 1004, port1261
Processed: Particle 20, Iteration 7, Reevaluation 1004, port1258
Processed: Particle 25, Iteration 7, Reevaluation 1004, port1263
Processed: Particle 3, Iteration 7, Reevaluation 1005, port1242
Processed: Particle 2, Iteration 7, Reevaluation 1005, port1241
Processed: Particle 4, Iteration 7, Reevaluation 1005, port1243
Processed: Particle 6, Iteration 7, Reevaluation 1005, port1245
Processed: Particle 9, Iteration 7, Reevaluation 1005, port1248
Processed: Particle 5, Iteration 7, Reevaluation 1005, port1244
Processed: Particle 7, Iteration 7, Reevaluation 1005, port1246
Error: Particle 1, Iteration 7, Reevaluation 1005, port1240
Processed: Particle 12, Iteration 7, Reevaluation 1005, port1251
Processed: Particle 8, Iteration 7, Reevaluation 1005, port1247
Processed: Particle 10, Iteration 7, Reevaluation 1005, port1249
Processed: Particle 14, Iteration 7, Reevaluation 1005, port1253
Error: Particle 11, Iteration 7, Reevaluation 1005, port1250
Processed: Particle 13, Iteration 7, Reevaluation 1005, port1252
Processed: Particle 15, Iteration 7, Reevaluation 1005, port1254
Processed: Particle 21, Iteration 7, Reevaluation 1005, port1260
Error: Particle 16, Iteration 7, Reevaluation 1005, port1255
Error: Particle 17, Iteration 7, Reevaluation 1005, port1256
Error: Particle 18, Iteration 7, Reevaluation 1005, port1257
Processed: Particle 19, Iteration 7, Reevaluation 1005, port1258
Processed: Particle 20, Iteration 7, Reevaluation 1005, port1259
Processed: Particle 22, Iteration 7, Reevaluation 1005, port1261
Processed: Particle 23, Iteration 7, Reevaluation 1005, port1262
Processed: Particle 24, Iteration 7, Reevaluation 1005, port1263
Processed: Particle 25, Iteration 7, Reevaluation 1005, port1264
Processed: Particle 9, Iteration 7, Reevaluation 2, port1245
Processed: Particle 14, Iteration 7, Reevaluation 2, port1250
Processed: Particle 19, Iteration 7, Reevaluation 2, port1255
Error: Particle 4, Iteration 7, Reevaluation 2, port1240
Error: Particle 7, Iteration 7, Reevaluation 2, port1243
Processed: Particle 6, Iteration 7, Reevaluation 2, port1242
Processed: Particle 25, Iteration 7, Reevaluation 2, port1261
Processed: Particle 12, Iteration 7, Reevaluation 2, port1248
Processed: Particle 20, Iteration 7, Reevaluation 2, port1256
Processed: Particle 24, Iteration 7, Reevaluation 2, port1260
Processed: Particle 22, Iteration 7, Reevaluation 2, port1258
Processed: Particle 10, Iteration 7, Reevaluation 2, port1246
Processed: Particle 9, Iteration 7, Reevaluation 3, port1246
Processed: Particle 7, Iteration 7, Reevaluation 3, port1244
Processed: Particle 6, Iteration 7, Reevaluation 3, port1243
Processed: Particle 25, Iteration 7, Reevaluation 3, port1262
Processed: Particle 10, Iteration 7, Reevaluation 3, port1247
Processed: Particle 19, Iteration 7, Reevaluation 3, port1256
Error: Particle 14, Iteration 7, Reevaluation 3, port1251
Error: Particle 4, Iteration 7, Reevaluation 3, port1241
Processed: Particle 12, Iteration 7, Reevaluation 3, port1249
Processed: Particle 20, Iteration 7, Reevaluation 3, port1257
Processed: Particle 24, Iteration 7, Reevaluation 3, port1261
Processed: Particle 22, Iteration 7, Reevaluation 3, port1259
Processed: Particle 9, Iteration 7, Reevaluation 4, port1247
Processed: Particle 7, Iteration 7, Reevaluation 4, port1245
Processed: Particle 14, Iteration 7, Reevaluation 4, port1252
Processed: Particle 10, Iteration 7, Reevaluation 4, port1248
Processed: Particle 6, Iteration 7, Reevaluation 4, port1244
Processed: Particle 19, Iteration 7, Reevaluation 4, port1257
Processed: Particle 4, Iteration 7, Reevaluation 4, port1242
Processed: Particle 24, Iteration 7, Reevaluation 4, port1262
Processed: Particle 20, Iteration 7, Reevaluation 4, port1258
Processed: Particle 12, Iteration 7, Reevaluation 4, port1250
Processed: Particle 25, Iteration 7, Reevaluation 4, port1263
Processed: Particle 22, Iteration 7, Reevaluation 4, port1260
